station_ID,Charing station name,City,State,Address line 1,Address line 2,Lng,Lat,Category
7865, ,Gosford,New South Wales,107 The Scenic Road,"Killcare Heights NSW 2257, Australia",151.3749048,-33.5212508,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7866, ,Sydney,New South Wales,357-363 George Street,"Sydney NSW 2000, Australia",151.2063604,-33.8682863,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7867, ,Sydney,New South Wales,Barbula Road,"Denham Court NSW 2565, Australia",150.8118548,-33.9760165,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7868, ,Sydney,New South Wales,Barbula Road,"Denham Court NSW 2565, Australia",150.8118557,-33.9760436,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7869,EVLink,Sydney,New South Wales,EVLink,"Anderson Street, Sydney NSW 2067, Australia",151.1833566,-33.7965055,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7870, ,Newcastle,New South Wales,Laman Street,"Cooks Hill NSW 2300, Australia",151.7720103,-32.9291638,"['fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7871, ,Newcastle,New South Wales,Smith Street,"Newcastle West NSW 2302, Australia",151.7607437,-32.9302558,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7872, ,Newcastle,New South Wales,Smith Street,"Newcastle West NSW 2302, Australia",151.7607424,-32.9302851,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7873, ,Newcastle,New South Wales,Smith Street,"Newcastle West NSW 2302, Australia",151.760741,-32.9303144,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7874, ,Sydney,New South Wales,1 Dalgal Way,"Forest Lodge NSW 2037, Australia",151.1778386,-33.8763052,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7875, ,Newcastle,New South Wales,Blue Gum Road,"Jesmond NSW 2299, Australia",151.6906686,-32.9028042,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7876, ,Newcastle,New South Wales,Kemp Street,"Wallsend NSW 2287, Australia",151.6697747,-32.9026832,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7877, ,Newcastle,New South Wales,Kemp Street,"Wallsend NSW 2287, Australia",151.6698001,-32.9026703,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7878, ,Sydney,New South Wales,Silver Street,"Randwick NSW 2031, Australia",151.2391178,-33.9138057,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7879, ,Sydney,New South Wales,Munda Street,"Randwick NSW 2031, Australia",151.2464722,-33.9306373,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
