Model,Wh/km
Maserati GranTurismo Folgore,"195
"
Nissan Ariya 87kWh,"196
"
Fisker Ocean Extreme,"196
"
Fisker Ocean One,"196
"
Seres 3,"196
"
Nissan Ariya 63kWh,"197
"
Porsche Taycan GTS Sport Turismo,"197
"
Porsche Taycan 4S Cross Turismo,"197
"
Porsche Taycan 4 Cross Turismo,"197
"
MG Marvel R Performance,"197
"
Ford Mustang Mach-E SR RWD,"197
"
BMW iX xDrive40,"197
"
Fisker Ocean Sport,"197
"
Fisker Ocean Ultra,"198
"
Mercedes EQB 300 4MATIC,"199
"
Mercedes EQB 350 4MATIC,"199
"
Audi Q4 e-tron 50 quattro,"199
"
Audi Q4 e-tron 45 quattro,"199
"
Mercedes EQE SUV 350 4MATIC,"199
"
Mercedes EQE SUV 500 4MATIC,"199
"
BMW i7 xDrive60,"199
"
Skoda Enyaq iV RS,"200
"
Volvo XC40 Recharge Single Motor,"200
"
Volvo C40 Recharge Twin Motor,"200
"
Subaru Solterra AWD,"200
"
Kia EV6 GT,"200
"
Ford Mustang Mach-E ER RWD,"200
"
Porsche Taycan Turbo,"202
"
Audi Q8 e-tron Sportback 55 quattro,"202
"
Tesla Model X Dual Motor,"202
"
Audi Q8 e-tron Sportback 50 quattro,"202
"
Audi e-tron GT quattro,"202
"
VinFast VF 8 Eco Standard Range,"202
"
Volvo XC40 Recharge Single Motor ER,"203
"
Genesis GV60 Sport Plus,"203
"
Ford Mustang Mach-E SR AWD,"203
"
Renault Kangoo E-Tech Electric,"205
"
VinFast VF 8 Plus Standard Range,"205
"
Volvo XC40 Recharge Twin Motor,"205
"
Lotus Eletre,"206
"
VinFast VF 8 Eco Extended Range,"206
"
VinFast VF 8 Plus Extended Range,"206
"
Lexus RZ 450e,"206
"
Porsche Taycan Turbo Sport Turismo,"207
"
Ford Mustang Mach-E ER AWD,"207
"
Nissan Ariya e-4ORCE 87kWh,"207
"
NIO EL7 75 kWh,"207
"
Mercedes EQE SUV AMG 43 4MATIC,"208
"
BMW iX xDrive50,"208
"
Tesla Model X Plaid,"209
"
Porsche Taycan Turbo S,"209
"
Porsche Taycan Turbo Cross Turismo,"209
"
NIO EL7 100 kWh,"209
"
Audi e-tron GT RS,"210
"
Genesis GV70 Electrified Sport,"211
"
Porsche Taycan Turbo S Sport Turismo,"212
"
Mercedes EQE SUV AMG 53 4MATIC+,"213
"
Ford Mustang Mach-E GT,"214
"
Audi Q8 e-tron 55 quattro,"214
"
Audi Q8 e-tron 50 quattro,"214
"
Mercedes EQC 400 4MATIC,"216
"
BMW iX M60,"217
"
Porsche Taycan Turbo S Cross Turismo,"217
"
Polestar 3 Long Range Dual motor,"218
"
Mercedes EQS SUV 450+,"219
"
Toyota Proace City Verso Electric L1 50 kWh,"220
"
Rolls-Royce Spectre,"220
"
Jaguar I-Pace EV400,"223
"
Mercedes EQS SUV 500 4MATIC,"224
"
Mercedes EQS SUV 450 4MATIC,"224
"
Mercedes EQS SUV 580 4MATIC,"224
"
Opel Combo-e Life 50 kWh,"225
"
Citroen e-Berlingo M 50 kWh,"225
"
Peugeot e-Rifter Standard 50 kWh,"225
"
Toyota Proace City Verso Electric L2 50 kWh,"225
"
Audi SQ8 e-tron Sportback,"226
"
Polestar 3 Long Range Performance,"228
"
Opel Combo-e Life XL 50 kWh,"231
"
Citroen e-Berlingo XL 50 kWh,"231
"
Peugeot e-Rifter Long 50 kWh,"231
"
Volkswagen ID. Buzz Pro,"233
"
Volvo EX90 Twin Motor,"235
"
VinFast VF 9 Extended Range,"237
"
Lotus Eletre R,"238
"
Audi SQ8 e-tron,"238
"
BYD TANG,"240
"
Volvo EX90 Twin Motor Performance,"243
"
VinFast VF 9 Standard Range,"245
"
Citroen e-Jumpy Combi M 50 kWh,"250
"
Citroen e-SpaceTourer M 50 kWh,"250
"
Opel Vivaro-e Combi M 50 kWh,"250
"
Opel Zafira-e Life M 50 kWh,"250
"
Peugeot e-Expert Combi Standard 50 kWh,"250
"
Peugeot e-Traveller Standard 50 kWh,"250
"
Fiat E-Ulysse L2 50 kWh,"250
"
Hongqi E-HS9 84 kWh,"251
"
Hongqi E-HS9 99 kWh,"254
"
Citroen e-Jumpy Combi M 75 kWh,"257
"
Citroen e-SpaceTourer M 75 kWh,"257
"
Opel Vivaro-e Combi M 75 kWh,"257
"
Opel Zafira-e Life M 75 kWh,"257
"
Peugeot e-Expert Combi Standard 75 kWh,"257
"
Peugeot e-Traveller Standard 75 kWh,"257
"
Fiat E-Ulysse L2 75 kWh,"257
"
Toyota PROACE Verso M 75 kWh,"257
"
Citroen e-Jumpy Combi XL 50 kWh,"257
"
Citroen e-SpaceTourer XL 50 kWh,"257
"
Opel Vivaro-e Combi L 50 kWh,"257
"
Opel Zafira-e Life L 50 kWh,"257
"
Peugeot e-Expert Combi Long 50 kWh,"257
"
Peugeot e-Traveller Long 50 kWh,"257
"
Toyota PROACE Shuttle M 50 kWh,"257
"
Toyota PROACE Shuttle L 50 kWh,"257
"
Fiat E-Ulysse L3 50 kWh,"257
"
Citroen e-Jumpy Combi XL 75 kWh,"262
"
Citroen e-SpaceTourer XL 75 kWh,"262
"
Opel Vivaro-e Combi L 75 kWh,"262
"
Opel Zafira-e Life L 75 kWh,"262
"
Peugeot e-Expert Combi Long 75 kWh,"262
"
Peugeot e-Traveller Long 75 kWh,"262
"
Toyota PROACE Shuttle M 75 kWh,"262
"
Toyota PROACE Shuttle L 75 kWh,"262
"
Fiat E-Ulysse L3 75 kWh,"262
"
Toyota PROACE Verso L 75 kWh,"262
"
Mercedes eVito Tourer Long 60 kWh,"286
"
Mercedes eVito Tourer Long 90 kWh,"290
"
Mercedes EQV 250 Long,"293
"
Mercedes EQV 250 Extra-Long,"293
"
Mercedes eVito Tourer Extra-Long 60 kWh,"293
"
Mercedes EQV 300 Extra-Long,"295
"
Mercedes eVito Tourer Extra-Long 90 kWh,"295
"
Mercedes EQV 300 Long,#VALUE!
