Models,Fuel Unit - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023.0_Nissan_NISSAN_LEAF SV,MPG,Electricity,121.0,98.0,109.0
2023.0_Porsche_Porsche_Taycan 4 Cross Turismo,MPG,Electricity,80.0,80.0,80.0
2023.0_Porsche_Porsche_Taycan 4S Cross Turismo,MPG,Electricity,78.0,78.0,78.0
2023.0_Porsche_Porsche_Taycan 4S Perf Battery Plus,MPG,Electricity,79.0,81.0,80.0
2023.0_Porsche_Porsche_Taycan 4S Performance Battery,MPG,Electricity,82.0,82.0,82.0
2023.0_Porsche_Porsche_Taycan GTS,MPG,Electricity,83.0,82.0,83.0
2023.0_Porsche_Porsche_Taycan GTS Sport Turismo,MPG,Electricity,80.0,80.0,80.0
2023.0_Porsche_Porsche_Taycan Perf Battery Plus,MPG,Electricity,78.0,88.0,82.0
2023.0_Porsche_Porsche_Taycan Performance Battery,MPG,Electricity,79.0,88.0,83.0
2023.0_Porsche_Porsche_Taycan Turbo,MPG,Electricity,81.0,80.0,81.0
2023.0_Porsche_Porsche_Taycan Turbo Cross Turismo,MPG,Electricity,80.0,78.0,79.0
2023.0_Porsche_Porsche_Taycan Turbo S,MPG,Electricity,76.0,74.0,75.0
2023.0_Porsche_Porsche_Taycan Turbo S Cross Turismo,MPG,Electricity,76.0,74.0,75.0
2023.0_Rivian Automotive L_Rivian_R1T 20in,MPG,Electricity,69.0,60.0,64.0
2023.0_Rivian Automotive L_Rivian_R1T 21in,MPG,Electricity,76.0,69.0,73.0
2023.0_Rivian Automotive L_Rivian_R1T 22in,MPG,Electricity,73.0,63.0,68.0
2023.0_Rivian Automotive L_Rivian_R1S 20in,MPG,Electricity,69.0,60.0,64.0
2023.0_Rivian Automotive L_Rivian_R1S 21in,MPG,Electricity,75.0,66.0,71.0
2023.0_Rivian Automotive L_Rivian_R1S 22in,MPG,Electricity,73.0,63.0,68.0
2023.0_Tesla_Tesla Motors_Model 3 Long Range AWD,MPG,Electricity,134.0,126.0,131.0
2023.0_Tesla_Tesla Motors_Model 3 Performance AWD,MPG,Electricity,118.0,107.0,113.0
2023.0_Tesla_Tesla Motors_Model 3 RWD,MPG,Electricity,138.0,126.0,132.0
2023.0_Tesla_Tesla Motors_Model S,MPG,Electricity,124.0,115.0,120.0
2023.0_Tesla_Tesla Motors_Model X,MPG,Electricity,107.0,97.0,102.0
"2023.0_Tesla_Tesla Motors_Model X Plaid (20"" Wheels)",MPG,Electricity,103.0,93.0,98.0
"2023.0_Tesla_Tesla Motors_Model X Plaid (22"" Wheels)",MPG,Electricity,94.0,88.0,91.0
2023.0_Tesla_Tesla Motors_Model Y AWD,MPG,Electricity,129.0,116.0,123.0
2023.0_Tesla_Tesla Motors_Model Y Long Range AWD,MPG,Electricity,127.0,117.0,122.0
2023.0_Tesla_Tesla Motors_Model Y Performance AWD,MPG,Electricity,115.0,106.0,111.0
2023.0_Volvo_Polestar Automotive USA Inc_Polestar 2 BST edition,MPG,Electricity,98.0,91.0,96.0
2023.0_Volvo_Polestar Automotive USA Inc_Polestar 2 Dual Motor,MPG,Electricity,105.0,96.0,100.0
2023.0_Volvo_Polestar Automotive USA Inc_Polestar 2 Dual Motor Perf Pack,MPG,Electricity,105.0,96.0,100.0
2023.0_Volvo_Polestar Automotive USA Inc_Polestar 2 Single Motor,MPG,Electricity,113.0,100.0,107.0
2023.0_Subaru_Subaru_SOLTERRA AWD,MPG,Electricity,114.0,94.0,104.0
2023.0_Subaru_Subaru_SOLTERRA LIMITED / TOURING AWD,MPG,Electricity,111.0,93.0,102.0
2023.0_Toyota_TOYOTA_bZ4X,MPG,Electricity,131.0,107.0,119.0
