Models,Fuel_usage,Fuel_unit,City_FE,Hwy_FE,Comb_FE
2023_Mini_COOPER S HARDTOP 4 DOOR,Gasoline,MPG,28.0,38.0,31.0
2023_Mini_COOPER S HARDTOP 4 DOOR,Gasoline,MPG,23.0,33.0,27.0
2023_Mini_JOHN COOPER WORKS HARDTOP 2 DOOR,Gasoline,MPG,25.0,34.0,29.0
2023_Mini_JOHN COOPER WORKS HARDTOP 2 DOOR,Gasoline,MPG,22.0,31.0,25.0
2023_NISSAN_GT-R,Gasoline,MPG,16.0,22.0,18.0
2023_TOYOTA_GR COROLLA,Gasoline,MPG,21.0,28.0,24.0
2023_Acura_TLX AWD,Gasoline,MPG,21.0,29.0,24.0
2023_Acura_TLX AWD A-SPEC,Gasoline,MPG,21.0,29.0,24.0
2023_Acura_TLX FWD,Gasoline,MPG,22.0,31.0,25.0
2023_Acura_TLX FWD A-SPEC,Gasoline,MPG,22.0,30.0,25.0
2023_Acura_TLX Type-S,Gasoline,MPG,19.0,25.0,21.0
2023_Acura_TLX Type-S Perf Tire,Gasoline,MPG,19.0,24.0,21.0
2023_Audi_A4 quattro,Gasoline,MPG,24.0,33.0,28.0
2023_Audi_A4 S-Line quattro,Gasoline,MPG,24.0,32.0,27.0
2023_Audi_S4,Gasoline,MPG,21.0,30.0,24.0
2023_BMW_228i Gran Coupe,Gasoline,MPG,24.0,34.0,28.0
2023_BMW_228i xDrive Gran Coupe,Gasoline,MPG,23.0,33.0,27.0
2023_BMW_330i Sedan,Gasoline,MPG,25.0,34.0,29.0
2023_BMW_330i xDrive Sedan,Gasoline,MPG,24.0,33.0,27.0
2023_BMW_430i Gran Coupe,Gasoline,MPG,25.0,34.0,28.0
2023_BMW_430i xDrive Gran Coupe,Gasoline,MPG,23.0,33.0,27.0
2023_BMW_M235i xDrive Gran Coupe,Gasoline,MPG,24.0,33.0,27.0
2023_BMW_M3 Competition M xDrive Sedan,Gasoline,MPG,16.0,22.0,18.0
2023_BMW_M3 Competition Sedan,Gasoline,MPG,16.0,23.0,19.0
2023_BMW_M3 Sedan,Gasoline,MPG,16.0,23.0,19.0
2023_BMW_M340i Sedan,Gasoline,MPG,23.0,31.0,26.0
2023_BMW_M340i xDrive Sedan,Gasoline,MPG,23.0,32.0,26.0
2023_BMW_M440i Gran Coupe,Gasoline,MPG,24.0,32.0,27.0
2023_BMW_M440i xDrive Gran Coupe,Gasoline,MPG,22.0,31.0,25.0
2023_Cadillac_CT4,Gasoline,MPG,23.0,34.0,27.0
2023_Cadillac_CT4,Gasoline,MPG,21.0,31.0,25.0
2023_Cadillac_CT4 AWD,Gasoline,MPG,22.0,31.0,26.0
2023_Cadillac_CT4 AWD,Gasoline,MPG,21.0,29.0,24.0
2023_Cadillac_CT4 V,Gasoline,MPG,20.0,29.0,23.0
2023_Cadillac_CT4 V,Gasoline,MPG,16.0,24.0,19.0
2023_Cadillac_CT4 V,Gasoline,MPG,15.0,23.0,18.0
2023_Cadillac_CT4 V AWD,Gasoline,MPG,20.0,28.0,23.0
2023_GENESIS_G70 AWD,Gasoline,MPG,20.0,28.0,23.0
2023_GENESIS_G70 AWD,Gasoline,MPG,17.0,26.0,20.0
2023_GENESIS_G70 RWD,Gasoline,MPG,21.0,31.0,25.0
2023_GENESIS_G70 RWD,Gasoline,MPG,18.0,27.0,21.0
2023_KIA_Rio,Gasoline,MPG,32.0,41.0,36.0
2023_LEXUS_IS 300,Gasoline,MPG,21.0,31.0,25.0
2023_LEXUS_IS 300 AWD,Gasoline,MPG,19.0,26.0,22.0
2023_LEXUS_IS 350,Gasoline,MPG,20.0,28.0,23.0
2023_LEXUS_IS 350 AWD,Gasoline,MPG,19.0,26.0,22.0
2023_LEXUS_IS 500,Gasoline,MPG,17.0,25.0,20.0
2023_LEXUS_UX 250h,Gasoline,MPG,43.0,41.0,42.0
2023_LEXUS_UX 250h,Gasoline,MPG,43.0,41.0,42.0
2023_LEXUS_UX 250h AWD,Gasoline,MPG,41.0,38.0,39.0
2023_LEXUS_UX 250h AWD,Gasoline,MPG,41.0,38.0,39.0
2023_MAZDA_MAZDA3 4-Door 2WD,Gasoline,MPG,28.0,36.0,31.0
2023_MAZDA_MAZDA3 4-Door 2WD,Gasoline,MPG,28.0,37.0,31.0
2023_MAZDA_MAZDA3 4-Door 4WD,Gasoline,MPG,26.0,35.0,30.0
2023_MAZDA_MAZDA3 4-Door 4WD,Gasoline,MPG,23.0,32.0,27.0
2023_Mercedes-Benz_AMG CLA 35 4MATIC,Gasoline,MPG,21.0,29.0,24.0
2023_Mercedes-Benz_AMG CLA 45 4MATIC,Gasoline,MPG,20.0,28.0,23.0
2023_Mercedes-Benz_AMG GT 43 4MATIC+,Gasoline,MPG,19.0,24.0,21.0
2023_Mercedes-Benz_AMG GT 53 4MATIC+,Gasoline,MPG,19.0,24.0,21.0
2023_Mercedes-Benz_AMG GT 63 4MATIC+,Gasoline,MPG,15.0,21.0,17.0
2023_Mercedes-Benz_AMG GT 63 S 4MATIC+,Gasoline,MPG,15.0,21.0,17.0
2023_Mercedes-Benz_C 300,Gasoline,MPG,25.0,36.0,29.0
2023_Mercedes-Benz_C 300 4MATIC,Gasoline,MPG,24.0,33.0,27.0
2023_Mercedes-Benz_CLA 250,Gasoline,MPG,25.0,36.0,29.0
2023_Mercedes-Benz_CLA 250 4MATIC,Gasoline,MPG,24.0,33.0,27.0
2023_Mercedes-Benz_CLS 450 4MATIC,Gasoline,MPG,22.0,30.0,25.0
2023_Mitsubishi Motors Corporation_MIRAGE,Gasoline,MPG,36.0,43.0,39.0
2023_Mitsubishi Motors Corporation_MIRAGE,Gasoline,MPG,33.0,41.0,36.0
2023_Mitsubishi Motors Corporation_MIRAGE G4,Gasoline,MPG,35.0,41.0,37.0
2023_Mitsubishi Motors Corporation_MIRAGE G4,Gasoline,MPG,33.0,40.0,35.0
2023_NISSAN_VERSA,Gasoline,MPG,32.0,40.0,35.0
2023_NISSAN_VERSA,Gasoline,MPG,27.0,35.0,30.0
2023_TOYOTA_COROLLA,Gasoline,MPG,31.0,40.0,34.0
2023_TOYOTA_COROLLA,Gasoline,MPG,32.0,41.0,35.0
2023_TOYOTA_COROLLA HATCHBACK,Gasoline,MPG,32.0,41.0,35.0
2023_TOYOTA_COROLLA HATCHBACK XSE,Gasoline,MPG,30.0,38.0,33.0
2023_TOYOTA_COROLLA HYBRID,Gasoline,MPG,50.0,43.0,47.0
2023_TOYOTA_COROLLA HYBRID,Gasoline,MPG,53.0,46.0,50.0
2023_TOYOTA_COROLLA HYBRID AWD,Gasoline,MPG,47.0,41.0,44.0
2023_TOYOTA_COROLLA HYBRID AWD,Gasoline,MPG,51.0,44.0,48.0
2023_Volkswagen_GLI,Gasoline,MPG,26.0,36.0,30.0
2023_Volkswagen_GLI,Gasoline,MPG,26.0,37.0,30.0
2023_Volkswagen_Golf-R,Gasoline,MPG,23.0,30.0,26.0
2023_Volkswagen_Golf-R,Gasoline,MPG,20.0,28.0,23.0
2023_Volkswagen_GTI,Gasoline,MPG,24.0,34.0,28.0
2023_Volkswagen_GTI,Gasoline,MPG,23.0,32.0,27.0
2023_Volkswagen_Jetta,Gasoline,MPG,31.0,41.0,35.0
2023_Volkswagen_Jetta,Gasoline,MPG,29.0,42.0,34.0
2023_Volkswagen_Jetta Sport/SE/SEL,Gasoline,MPG,29.0,40.0,33.0
"2023_Volvo Cars of North America, LLC_S60 B5",Gasoline,MPG,26.0,35.0,30.0
"2023_Volvo Cars of North America, LLC_S60 B5 AWD",Gasoline,MPG,25.0,33.0,28.0
2023_ALFA ROMEO_Giulia,Gasoline,MPG,24.0,33.0,27.0
2023_ALFA ROMEO_Giulia,Gasoline,MPG,17.0,25.0,20.0
2023_ALFA ROMEO_Giulia AWD,Gasoline,MPG,23.0,31.0,26.0
2023_Audi_A5 Sportback quattro,Gasoline,MPG,24.0,33.0,28.0
2023_Audi_A5 Sportback S-Line quattro,Gasoline,MPG,24.0,32.0,27.0
2023_Audi_A6 quattro,Gasoline,MPG,24.0,31.0,27.0
2023_Audi_A6 quattro,Gasoline,MPG,21.0,30.0,24.0
2023_Audi_A7,Gasoline,MPG,21.0,30.0,24.0
2023_Audi_RS 7,Gasoline,MPG,14.0,21.0,17.0
2023_Audi_RS5 Sportback,Gasoline,MPG,18.0,25.0,21.0
2023_Audi_S5 Sportback,Gasoline,MPG,21.0,30.0,24.0
2023_Audi_S6,Gasoline,MPG,19.0,26.0,22.0
2023_Audi_S7,Gasoline,MPG,19.0,26.0,22.0
2023_Bentley_Flying Spur,Gasoline,MPG,15.0,22.0,17.0
2023_Bentley_Flying Spur,Gasoline,MPG,12.0,19.0,15.0
2023_BMW_530i Sedan,Gasoline,MPG,25.0,33.0,28.0
2023_BMW_530i xDrive Sedan,Gasoline,MPG,23.0,32.0,26.0
2023_BMW_540i Sedan,Gasoline,MPG,25.0,32.0,27.0
2023_BMW_540i xDrive Sedan,Gasoline,MPG,22.0,29.0,25.0
2023_BMW_840i Gran Coupe,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_840i xDrive Gran Coupe,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_ALPINA B8 Gran Coupe,Gasoline,MPG,17.0,24.0,19.0
2023_BMW_M5 Competition Sedan,Gasoline,MPG,15.0,21.0,17.0
2023_BMW_M5 Sedan,Gasoline,MPG,15.0,21.0,17.0
2023_BMW_M550i xDrive Sedan,Gasoline,MPG,17.0,25.0,20.0
2023_BMW_M8 Competition Gran Coupe,Gasoline,MPG,15.0,22.0,17.0
2023_BMW_M850i xDrive Gran Coupe,Gasoline,MPG,17.0,24.0,19.0
2023_BMW_X2 M35i,Gasoline,MPG,24.0,31.0,27.0
2023_BMW_X2 sDrive28i,Gasoline,MPG,24.0,32.0,27.0
2023_BMW_X2 xDrive28i,Gasoline,MPG,24.0,31.0,27.0
2023_Cadillac_CT5,Gasoline,MPG,23.0,33.0,27.0
2023_Cadillac_CT5,Gasoline,MPG,19.0,27.0,22.0
2023_Cadillac_CT5 AWD,Gasoline,MPG,22.0,30.0,25.0
2023_Cadillac_CT5 AWD,Gasoline,MPG,18.0,26.0,21.0
2023_Cadillac_CT5 V,Gasoline,MPG,18.0,27.0,21.0
2023_Cadillac_CT5 V,Gasoline,MPG,13.0,21.0,16.0
2023_Cadillac_CT5 V,Gasoline,MPG,13.0,21.0,15.0
2023_Chevrolet_MALIBU,Gasoline,MPG,27.0,35.0,30.0
2023_Dodge_Challenger,Gasoline,MPG,19.0,30.0,23.0
2023_Dodge_Challenger,Gasoline,MPG,16.0,25.0,19.0
2023_Dodge_Challenger,Gasoline,MPG,15.0,23.0,18.0
2023_Dodge_Challenger,Gasoline,MPG,15.0,24.0,18.0
2023_Dodge_Challenger,Gasoline,MPG,14.0,23.0,17.0
2023_Dodge_Challenger AWD,Gasoline,MPG,18.0,27.0,21.0
2023_Dodge_Challenger SRT,Gasoline,MPG,13.0,22.0,16.0
2023_Dodge_Challenger SRT Widebody,Gasoline,MPG,13.0,21.0,15.0
2023_Dodge_Challenger Widebody,Gasoline,MPG,15.0,24.0,18.0
2023_Dodge_Challenger Widebody,Gasoline,MPG,14.0,23.0,17.0
2023_Honda_ACCORD SPORT/TOURING,Gasoline,MPG,46.0,41.0,44.0
2023_Honda_CIVIC 4Dr,Gasoline,MPG,33.0,42.0,36.0
2023_Honda_CIVIC 4Dr,Gasoline,MPG,31.0,38.0,34.0
2023_Honda_CIVIC 4Dr,Gasoline,MPG,27.0,37.0,31.0
2023_Honda_CIVIC 4Dr,Gasoline,MPG,30.0,37.0,33.0
2023_HYUNDAI MOTOR COMPANY_Elantra,Gasoline,MPG,28.0,36.0,31.0
2023_HYUNDAI MOTOR COMPANY_Elantra,Gasoline,MPG,33.0,42.0,37.0
2023_HYUNDAI MOTOR COMPANY_Elantra,Gasoline,MPG,30.0,40.0,34.0
2023_HYUNDAI MOTOR COMPANY_Elantra Hybrid,Gasoline,MPG,49.0,52.0,50.0
2023_HYUNDAI MOTOR COMPANY_Elantra Hybrid Blue,Gasoline,MPG,53.0,56.0,54.0
2023_HYUNDAI MOTOR COMPANY_Elantra N,Gasoline,MPG,20.0,30.0,23.0
2023_HYUNDAI MOTOR COMPANY_Elantra N,Gasoline,MPG,22.0,31.0,25.0
2023_HYUNDAI MOTOR COMPANY_Venue,Gasoline,MPG,29.0,33.0,31.0
2023_INFINITI_Q50,Gasoline,MPG,20.0,29.0,23.0
2023_INFINITI_Q50 AWD,Gasoline,MPG,19.0,27.0,22.0
2023_INFINITI_Q50 AWD RED SPORT,Gasoline,MPG,19.0,26.0,22.0
2023_INFINITI_Q50 RED SPORT,Gasoline,MPG,20.0,26.0,22.0
2023_Jaguar_XF P250,Gasoline,MPG,25.0,33.0,28.0
2023_Jaguar_XF P250 AWD,Gasoline,MPG,23.0,32.0,26.0
2023_Jaguar_XF P300 AWD,Gasoline,MPG,22.0,30.0,25.0
2023_KIA_Forte,Gasoline,MPG,27.0,35.0,30.0
2023_KIA_Forte,Gasoline,MPG,22.0,31.0,26.0
2023_KIA_Forte,Gasoline,MPG,28.0,39.0,32.0
2023_KIA_Forte FE,Gasoline,MPG,30.0,41.0,34.0
2023_KIA_Stinger AWD,Gasoline,MPG,21.0,29.0,24.0
2023_KIA_Stinger AWD,Gasoline,MPG,17.0,24.0,20.0
2023_KIA_Stinger RWD,Gasoline,MPG,22.0,32.0,25.0
2023_KIA_Stinger RWD,Gasoline,MPG,18.0,25.0,20.0
2023_LEXUS_ES 250 AWD,Gasoline,MPG,25.0,34.0,28.0
2023_LEXUS_ES 300h,Gasoline,MPG,43.0,44.0,44.0
2023_LEXUS_ES 350,Gasoline,MPG,22.0,32.0,26.0
2023_LEXUS_ES 350 F SPORT,Gasoline,MPG,22.0,31.0,25.0
2023_LEXUS_LS 500,Gasoline,MPG,18.0,29.0,22.0
2023_LEXUS_LS 500 AWD,Gasoline,MPG,17.0,27.0,21.0
2023_LEXUS_LS 500h AWD,Gasoline,MPG,22.0,29.0,25.0
2023_MASERATI_GHIBLI GT,Gasoline,MPG,18.0,25.0,20.0
2023_MASERATI_GHIBLI MODENA AWD,Gasoline,MPG,17.0,25.0,20.0
2023_MASERATI_GHIBLI MODENA RWD,Gasoline,MPG,18.0,25.0,20.0
2023_MASERATI_GHIBLI TROFEO,Gasoline,MPG,13.0,20.0,16.0
2023_MAZDA_MAZDA3 5-Door 2WD,Gasoline,MPG,27.0,35.0,30.0
2023_MAZDA_MAZDA3 5-Door 2WD,Gasoline,MPG,26.0,36.0,30.0
2023_MAZDA_MAZDA3 5-Door 4WD,Gasoline,MPG,26.0,33.0,29.0
2023_MAZDA_MAZDA3 5-Door 4WD,Gasoline,MPG,23.0,31.0,26.0
2023_Mercedes-Benz_AMG E 53 4MATIC+,Gasoline,MPG,21.0,29.0,24.0
2023_Mercedes-Benz_AMG E 63 S 4MATIC+,Gasoline,MPG,16.0,24.0,19.0
2023_Mercedes-Benz_E 350,Gasoline,MPG,23.0,31.0,26.0
2023_Mercedes-Benz_E 350 4MATIC,Gasoline,MPG,21.0,30.0,24.0
2023_Mercedes-Benz_E 450 4MATIC,Gasoline,MPG,23.0,31.0,26.0
2023_Mini_COOPER COUNTRYMAN,Gasoline,MPG,26.0,32.0,28.0
2023_Mini_COOPER COUNTRYMAN ALL4,Gasoline,MPG,23.0,31.0,26.0
2023_Mini_COOPER S CLUBMAN,Gasoline,MPG,25.0,35.0,29.0
2023_Mini_COOPER S CLUBMAN,Gasoline,MPG,22.0,32.0,25.0
2023_Mini_COOPER S CLUBMAN ALL4,Gasoline,MPG,23.0,32.0,27.0
2023_Mini_COOPER S COUNTRYMAN,Gasoline,MPG,24.0,33.0,28.0
2023_Mini_COOPER S COUNTRYMAN ALL4,Gasoline,MPG,23.0,31.0,26.0
2023_Mini_JCW COUNTRYMAN ALL4,Gasoline,MPG,24.0,30.0,26.0
2023_Mini_JOHN COOPER WORKS CLUBMAN ALL4,Gasoline,MPG,23.0,31.0,26.0
2023_NISSAN_ALTIMA,Gasoline,MPG,27.0,39.0,32.0
2023_NISSAN_ALTIMA AWD,Gasoline,MPG,26.0,36.0,30.0
2023_NISSAN_ALTIMA SL/SR,Gasoline,MPG,27.0,37.0,31.0
2023_NISSAN_ALTIMA SR,Gasoline,MPG,25.0,34.0,29.0
2023_NISSAN_KICKS,Gasoline,MPG,31.0,36.0,33.0
2023_NISSAN_MAXIMA,Gasoline,MPG,20.0,30.0,24.0
2023_Subaru_IMPREZA 4-Door,Gasoline,MPG,28.0,36.0,32.0
2023_Subaru_IMPREZA 4-Door,Gasoline,MPG,23.0,31.0,26.0
2023_Subaru_IMPREZA 4-Door SPORT,Gasoline,MPG,27.0,36.0,30.0
2023_Subaru_WRX,Gasoline,MPG,19.0,25.0,21.0
2023_Subaru_WRX,Gasoline,MPG,19.0,26.0,22.0
2023_TOYOTA_CAMRY,Gasoline,MPG,22.0,33.0,26.0
2023_TOYOTA_CAMRY AWD LE/SE,Gasoline,MPG,25.0,34.0,29.0
2023_TOYOTA_CAMRY AWD XLE/XSE,Gasoline,MPG,25.0,34.0,28.0
2023_TOYOTA_CAMRY HYBRID LE,Gasoline,MPG,51.0,53.0,52.0
2023_TOYOTA_CAMRY HYBRID SE/XLE/XSE,Gasoline,MPG,44.0,47.0,46.0
2023_TOYOTA_CAMRY LE/SE,Gasoline,MPG,28.0,39.0,32.0
2023_TOYOTA_CAMRY TRD,Gasoline,MPG,22.0,31.0,25.0
2023_TOYOTA_CAMRY XLE/XSE,Gasoline,MPG,27.0,38.0,31.0
2023_TOYOTA_CAMRY XSE,Gasoline,MPG,22.0,32.0,26.0
2023_TOYOTA_PRIUS,Gasoline,MPG,57.0,56.0,57.0
2023_TOYOTA_PRIUS AWD,Gasoline,MPG,53.0,54.0,54.0
2023_TOYOTA_PRIUS AWD XLE/LTD,Gasoline,MPG,49.0,50.0,49.0
2023_TOYOTA_PRIUS XLE/LTD,Gasoline,MPG,52.0,52.0,52.0
2023_TOYOTA_TOYOTA CROWN AWD,Gasoline,MPG,29.0,32.0,30.0
2023_TOYOTA_TOYOTA CROWN AWD,Gasoline,MPG,42.0,41.0,41.0
"2023_Volvo Cars of North America, LLC_S90 B6 AWD",Gasoline,MPG,23.0,32.0,26.0
2023_Acura_INTEGRA,Gasoline,MPG,30.0,37.0,33.0
2023_Acura_INTEGRA A-SPEC,Gasoline,MPG,29.0,36.0,32.0
2023_Acura_INTEGRA A-SPEC,Gasoline,MPG,26.0,36.0,30.0
2023_Audi_A8L,Gasoline,MPG,19.0,28.0,22.0
2023_Audi_S8,Gasoline,MPG,15.0,23.0,18.0
2023_BMW_740i Sedan,Gasoline,MPG,25.0,31.0,27.0
2023_BMW_760i xDrive Sedan,Gasoline,MPG,18.0,26.0,21.0
2023_Chrysler_300,Gasoline,MPG,19.0,30.0,23.0
2023_Chrysler_300,Gasoline,MPG,16.0,25.0,19.0
2023_Chrysler_300,Gasoline,MPG,15.0,24.0,18.0
2023_Chrysler_300 AWD,Gasoline,MPG,18.0,27.0,21.0
2023_Dodge_Charger,Gasoline,MPG,19.0,30.0,23.0
2023_Dodge_Charger,Gasoline,MPG,16.0,25.0,19.0
2023_Dodge_Charger,Gasoline,MPG,15.0,24.0,18.0
2023_Dodge_Charger AWD,Gasoline,MPG,18.0,27.0,21.0
2023_Dodge_Charger SRT Widebody,Gasoline,MPG,12.0,21.0,15.0
2023_Dodge_Charger Widebody,Gasoline,MPG,15.0,24.0,18.0
2023_GENESIS_G80 AWD,Gasoline,MPG,22.0,30.0,25.0
2023_GENESIS_G80 AWD,Gasoline,MPG,16.0,25.0,19.0
2023_GENESIS_G80 RWD,Gasoline,MPG,22.0,32.0,26.0
2023_GENESIS_G90 AWD,Gasoline,MPG,18.0,26.0,21.0
2023_GENESIS_G90 MHEV,Gasoline,MPG,17.0,24.0,20.0
2023_Honda_ACCORD,Gasoline,MPG,29.0,37.0,32.0
2023_Honda_ACCORD,Gasoline,MPG,51.0,44.0,48.0
2023_Honda_CIVIC 5Dr,Gasoline,MPG,31.0,39.0,35.0
2023_Honda_CIVIC 5Dr,Gasoline,MPG,30.0,37.0,33.0
2023_Honda_CIVIC 5Dr,Gasoline,MPG,28.0,37.0,31.0
2023_Honda_CIVIC 5Dr,Gasoline,MPG,29.0,37.0,32.0
2023_Honda_CIVIC 5Dr,Gasoline,MPG,26.0,36.0,29.0
2023_Honda_CIVIC 5Dr,Gasoline,MPG,22.0,28.0,24.0
2023_HYUNDAI MOTOR COMPANY_Sonata,Gasoline,MPG,27.0,37.0,31.0
2023_HYUNDAI MOTOR COMPANY_Sonata,Gasoline,MPG,23.0,33.0,27.0
2023_HYUNDAI MOTOR COMPANY_Sonata,Gasoline,MPG,28.0,38.0,32.0
2023_HYUNDAI MOTOR COMPANY_Sonata,Gasoline,MPG,27.0,37.0,31.0
2023_HYUNDAI MOTOR COMPANY_Sonata Hybrid,Gasoline,MPG,45.0,51.0,47.0
2023_HYUNDAI MOTOR COMPANY_Sonata Hybrid Blue,Gasoline,MPG,50.0,54.0,52.0
2023_KIA_K5,Gasoline,MPG,27.0,37.0,31.0
2023_KIA_K5,Gasoline,MPG,24.0,32.0,27.0
2023_KIA_K5 AWD,Gasoline,MPG,25.0,33.0,28.0
2023_MASERATI_QUATTROPORTE GT,Gasoline,MPG,16.0,25.0,19.0
2023_MASERATI_QUATTROPORTE MODENA AWD,Gasoline,MPG,17.0,25.0,20.0
2023_MASERATI_QUATTROPORTE MODENA RWD,Gasoline,MPG,16.0,25.0,19.0
2023_MASERATI_QUATTROPORTE TROFEO,Gasoline,MPG,13.0,20.0,16.0
2023_Mercedes-Benz_S 500 4MATIC,Gasoline,MPG,20.0,28.0,23.0
2023_Mercedes-Benz_S 580 4MATIC,Gasoline,MPG,16.0,25.0,19.0
2023_Mercedes-Benz_S 580 4MATIC Maybach,Gasoline,MPG,15.0,25.0,18.0
2023_Porsche_Panamera,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_Panamera 4,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_Panamera 4 Executive,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_Panamera 4 ST,Gasoline,MPG,18.0,23.0,20.0
2023_Porsche_Panamera 4S,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_Panamera 4S Executive,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_Panamera 4S ST,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_Panamera GTS,Gasoline,MPG,15.0,21.0,17.0
2023_Porsche_Panamera GTS ST,Gasoline,MPG,15.0,20.0,17.0
2023_Porsche_Panamera Turbo S,Gasoline,MPG,15.0,21.0,17.0
2023_Rolls-Royce Motor Cars Limited_Ghost,Gasoline,MPG,12.0,19.0,14.0
2023_Rolls-Royce Motor Cars Limited_Ghost Black Badge,Gasoline,MPG,12.0,19.0,14.0
2023_Rolls-Royce Motor Cars Limited_Ghost Extended,Gasoline,MPG,12.0,19.0,14.0
2023_Rolls-Royce Motor Cars Limited_Phantom,Gasoline,MPG,12.0,18.0,14.0
2023_Rolls-Royce Motor Cars Limited_Phantom Extended,Gasoline,MPG,12.0,18.0,14.0
2023_Subaru_LEGACY,Gasoline,MPG,23.0,31.0,26.0
2023_Subaru_LEGACY,Gasoline,MPG,27.0,35.0,30.0
2023_Volkswagen_Arteon,Gasoline,MPG,25.0,33.0,28.0
2023_Volkswagen_Arteon 4Motion,Gasoline,MPG,22.0,31.0,25.0
2023_Audi_A4 Allroad quattro,Gasoline,MPG,23.0,30.0,26.0
2023_Honda_HR-V AWD,Gasoline,MPG,25.0,30.0,27.0
2023_Honda_HR-V FWD,Gasoline,MPG,26.0,32.0,28.0
2023_KIA_Niro,Gasoline,MPG,53.0,45.0,49.0
2023_KIA_Niro FE,Gasoline,MPG,53.0,54.0,53.0
2023_KIA_Soul,Gasoline,MPG,28.0,33.0,30.0
2023_KIA_Soul Eco dynamics,Gasoline,MPG,29.0,35.0,31.0
2023_Lamborghini_Urus Performante,Gasoline,MPG,14.0,19.0,16.0
2023_Mercedes-Benz_AMG GLA 35 4MATIC,Gasoline,MPG,22.0,29.0,25.0
2023_Mercedes-Benz_AMG GLA 45 4MATIC,Gasoline,MPG,20.0,25.0,22.0
2023_Subaru_IMPREZA 5-Door,Gasoline,MPG,28.0,36.0,31.0
2023_Subaru_IMPREZA 5-Door,Gasoline,MPG,24.0,31.0,26.0
2023_Subaru_IMPREZA 5-Door SPORT,Gasoline,MPG,27.0,35.0,30.0
2023_Subaru_IMPREZA 5-Door SPORT,Gasoline,MPG,22.0,30.0,25.0
"2023_Volvo Cars of North America, LLC_V60CC B5 AWD",Gasoline,MPG,23.0,30.0,26.0
2023_Audi_A6 Allroad,Gasoline,MPG,21.0,30.0,24.0
2023_Audi_RS 6 Avant,Gasoline,MPG,14.0,21.0,17.0
2023_Mercedes-Benz_AMG E 63 S 4MATIC+ (SW),Gasoline,MPG,16.0,24.0,19.0
2023_Mercedes-Benz_AMG GLB 35 4MATIC,Gasoline,MPG,21.0,27.0,23.0
2023_Mercedes-Benz_E 450 4MATIC All-Terrain (wagon),Gasoline,MPG,21.0,28.0,24.0
2023_NISSAN_MURANO AWD,Gasoline,MPG,20.0,28.0,23.0
2023_NISSAN_MURANO FWD,Gasoline,MPG,20.0,28.0,23.0
2023_Rolls-Royce Motor Cars Limited_Cullinan,Gasoline,MPG,12.0,19.0,14.0
2023_Rolls-Royce Motor Cars Limited_Cullinan Black Badge,Gasoline,MPG,12.0,19.0,14.0
"2023_Volvo Cars of North America, LLC_V90CC B6 AWD",Gasoline,MPG,22.0,29.0,25.0
2023_Ford_MAVERICK FWD,Gasoline,MPG,23.0,30.0,25.0
2023_Ford_MAVERICK HEV FWD,Gasoline,MPG,40.0,33.0,37.0
2023_TOYOTA_TACOMA 2WD,Gasoline,MPG,20.0,23.0,21.0
2023_TOYOTA_TACOMA 2WD,Gasoline,MPG,19.0,24.0,21.0
2023_Ford_MAVERICK AWD,Gasoline,MPG,22.0,28.0,24.0
2023_Ford_MAVERICK TREMOR AWD,Gasoline,MPG,20.0,24.0,21.0
2023_TOYOTA_TACOMA 4WD,Gasoline,MPG,19.0,22.0,20.0
2023_TOYOTA_TACOMA 4WD,Gasoline,MPG,18.0,22.0,20.0
2023_TOYOTA_TACOMA 4WD,Gasoline,MPG,17.0,21.0,18.0
2023_TOYOTA_TACOMA 4WD D-CAB MT TRD-ORP/PRO,Gasoline,MPG,17.0,20.0,18.0
2023_Chevrolet_SILVERADO 2WD,Gasoline,MPG,19.0,21.0,20.0
2023_Chevrolet_SILVERADO 2WD,Gasoline,MPG,19.0,22.0,20.0
2023_Chevrolet_SILVERADO 2WD,Gasoline,MPG,24.0,29.0,26.0
2023_Chevrolet_SILVERADO 2WD,Gasoline,MPG,17.0,21.0,19.0
2023_Chevrolet_SILVERADO 2WD,Gasoline,MPG,17.0,21.0,19.0
2023_Chevrolet_SILVERADO 2WD,Gasoline,MPG,16.0,20.0,18.0
2023_Chevrolet_SILVERADO 2WD,Gasoline,MPG,16.0,20.0,18.0
2023_Ford_F150 PICKUP 2WD,Gasoline,MPG,18.0,25.0,21.0
2023_Ford_F150 PICKUP 2WD,Gasoline,MPG,20.0,26.0,22.0
2023_Ford_F150 PICKUP 2WD,Gasoline,MPG,18.0,24.0,21.0
2023_Ford_F150 PICKUP 2WD FFV,Gasoline,MPG,19.0,23.0,20.0
2023_Ford_F150 PICKUP 2WD FFV,Gasoline,MPG,19.0,24.0,21.0
2023_Ford_F150 PICKUP 2WD FFV,Gasoline,MPG,17.0,25.0,20.0
2023_Ford_F150 PICKUP 2WD FFV,Gasoline,MPG,17.0,24.0,19.0
