Models,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023_Porsche_718 Cayman T,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,23
2023_Porsche_718 Cayman T,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,26,22
2023_Porsche_718 GT4 RS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,19,16
2023_Porsche_718 Spyder,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_718 Spyder,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19
2023_Porsche_911 GT3,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,18,16
2023_Porsche_911 GT3,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,18,16
2023_Porsche_911 GT3 Touring,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,18,16
2023_Porsche_911 GT3 Touring,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,18,16
2023_TOYOTA_Supra 2.0,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,31,27
2023_TOYOTA_Supra 3.0,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_TOYOTA_Supra 3.0,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,27,21
2023_Aston Martin Lagonda Ltd_DB11 V12,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,22,17
2023_Aston Martin Lagonda Ltd_DB11 V8,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,24,20
2023_Aston Martin Lagonda Ltd_DBS,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,22,17
2023_Bentley_Continental GT Convertible,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,22,18
2023_Bentley_Continental GT Convertible Speed,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,18,14
"2023_Ferrari North America, Inc._Portofino M",Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19
2023_LEXUS_LC 500 CONVERTIBLE,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,25,18
2023_Mini_COOPER CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,29,38,32
2023_Mini_COOPER CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,27,37,31
2023_Mini_COOPER S CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,27,36,30
2023_Mini_COOPER S CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27
2023_Mini_JOHN COOPER WORKS CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,33,27
2023_Porsche_911 Carrera,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_911 Carrera 4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_911 Carrera 4 Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_911 Carrera 4 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19
2023_Porsche_911 Carrera 4 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19
2023_Porsche_911 Carrera 4 GTS Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,22,19
2023_Porsche_911 Carrera 4 GTS Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19
2023_Porsche_911 Carrera 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20
2023_Porsche_911 Carrera 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,25,20
2023_Porsche_911 Carrera 4S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20
2023_Porsche_911 Carrera 4S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,20
2023_Porsche_911 Carrera Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_911 Carrera GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19
2023_Porsche_911 Carrera GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,20
2023_Porsche_911 Carrera GTS Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19
2023_Porsche_911 Carrera GTS Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,20
2023_Porsche_911 Carrera S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20
2023_Porsche_911 Carrera S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,25,21
2023_Porsche_911 Carrera S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20
2023_Porsche_911 Carrera S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,25,20
2023_Porsche_911 Sport Classic,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,21,17
2023_Porsche_911 Targa 4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_911 Targa 4 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,22,19
2023_Porsche_911 Targa 4 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19
2023_Porsche_911 Targa 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20
2023_Porsche_911 Targa 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,20
2023_Porsche_911 Turbo,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17
2023_Porsche_911 Turbo Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17
2023_Porsche_911 Turbo S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17
2023_Porsche_911 Turbo S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17
2023_Subaru_BRZ,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,30,25
2023_Subaru_BRZ,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,27,22
2023_TOYOTA_GR86,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,31,25
2023_TOYOTA_GR86,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,27,22
2023_Audi_A3,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,38,32
2023_Audi_A3 quattro,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30
2023_Audi_A5 Cabriolet quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,31,26
2023_Audi_A5 Coupe quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,32,27
2023_Audi_RS5 Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,26,21
2023_Audi_S3,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,32,26
2023_Audi_S5 Cabriolet,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,28,23
2023_Audi_S5 Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,30,24
2023_Audi_TT Coupe,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,30,25
2023_Audi_TTS Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_Bentley_Continental GT,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,23,18
2023_Bentley_Continental GT Speed,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,20,15
2023_BMW_230i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,26,35,29
2023_BMW_230i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,34,28
2023_BMW_430i Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,34,28
2023_BMW_430i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,34,28
2023_BMW_430i xDrive Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27
2023_BMW_430i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27
2023_BMW_840i Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_BMW_840i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_BMW_840i xDrive Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_BMW_840i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_BMW_M2 Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19
2023_BMW_M2 Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19
2023_BMW_M240i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,32,26
2023_BMW_M240i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,32,26
2023_BMW_M4 Competition Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19
2023_BMW_M4 Competition M xDrive Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,22,18
2023_BMW_M4 Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19
2023_BMW_M4 CSL Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,18
2023_BMW_M440i Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_BMW_M440i Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,32,27
2023_BMW_M440i xDrive Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_BMW_M440i xDrive Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_BMW_M4CompetitionMxDriveConvertible,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,18
2023_BMW_M8 Competition Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,22,17
