Models,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023_LEXUS_UX 250h,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,43,41,42
2023_LEXUS_UX 250h AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,41,38,39
2023_LEXUS_UX 250h AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,41,38,39
2023_MAZDA_MAZDA3 4-Door 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,36,31
2023_MAZDA_MAZDA3 4-Door 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,37,31
2023_MAZDA_MAZDA3 4-Door 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,35,30
2023_MAZDA_MAZDA3 4-Door 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,32,27
2023_Mercedes-Benz_AMG CLA 35 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,29,24
2023_Mercedes-Benz_AMG CLA 45 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,28,23
2023_Mercedes-Benz_AMG GT 43 4MATIC+,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,24,21
2023_Mercedes-Benz_AMG GT 53 4MATIC+,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,24,21
2023_Mercedes-Benz_AMG GT 63 4MATIC+,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,21,17
2023_Mercedes-Benz_AMG GT 63 S 4MATIC+,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,21,17
2023_Mercedes-Benz_C 300,Gasoline (Premium Unleaded Required),MPG,miles per gallon,25,36,29
2023_Mercedes-Benz_C 300 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,24,33,27
2023_Mercedes-Benz_CLA 250,Gasoline (Premium Unleaded Required),MPG,miles per gallon,25,36,29
2023_Mercedes-Benz_CLA 250 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,24,33,27
2023_Mercedes-Benz_CLS 450 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,30,25
2023_Mitsubishi Motors Corporation_MIRAGE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,36,43,39
2023_Mitsubishi Motors Corporation_MIRAGE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,33,41,36
2023_Mitsubishi Motors Corporation_MIRAGE G4,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,35,41,37
2023_Mitsubishi Motors Corporation_MIRAGE G4,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,33,40,35
2023_NISSAN_VERSA,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,32,40,35
2023_NISSAN_VERSA,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30
2023_TOYOTA_COROLLA,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,31,40,34
2023_TOYOTA_COROLLA,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,32,41,35
2023_TOYOTA_COROLLA HATCHBACK,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,32,41,35
2023_TOYOTA_COROLLA HATCHBACK XSE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,30,38,33
2023_TOYOTA_COROLLA HYBRID,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,50,43,47
2023_TOYOTA_COROLLA HYBRID,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,53,46,50
2023_TOYOTA_COROLLA HYBRID AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,47,41,44
2023_TOYOTA_COROLLA HYBRID AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,51,44,48
2023_Volkswagen_GLI,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,36,30
2023_Volkswagen_GLI,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,37,30
2023_Volkswagen_Golf-R,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,30,26
2023_Volkswagen_Golf-R,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,20,28,23
2023_Volkswagen_GTI,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,34,28
2023_Volkswagen_GTI,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,32,27
2023_Volkswagen_Jetta,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,31,41,35
2023_Volkswagen_Jetta,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,42,34
2023_Volkswagen_Jetta Sport/SE/SEL,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,40,33
"2023_Volvo Cars of North America, LLC_S60 B5",Gasoline (Premium Unleaded Required),MPG,miles per gallon,26,35,30
"2023_Volvo Cars of North America, LLC_S60 B5 AWD",Gasoline (Premium Unleaded Required),MPG,miles per gallon,25,33,28
2023_ALFA ROMEO_Giulia,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,33,27
2023_ALFA ROMEO_Giulia,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,25,20
2023_ALFA ROMEO_Giulia AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_Audi_A5 Sportback quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,33,28
2023_Audi_A5 Sportback S-Line quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,32,27
2023_Audi_A6 quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,31,27
2023_Audi_A6 quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,30,24
2023_Audi_A7,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,30,24
2023_Audi_RS 7,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,21,17
2023_Audi_RS5 Sportback,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,25,21
2023_Audi_S5 Sportback,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,30,24
2023_Audi_S6,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,26,22
2023_Audi_S7,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,26,22
2023_Bentley_Flying Spur,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,22,17
2023_Bentley_Flying Spur,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,19,15
2023_BMW_530i Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,33,28
2023_BMW_530i xDrive Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,32,26
2023_BMW_540i Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,32,27
2023_BMW_540i xDrive Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,29,25
2023_BMW_840i Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_BMW_840i xDrive Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_BMW_ALPINA B8 Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,19
2023_BMW_M5 Competition Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,21,17
2023_BMW_M5 Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,21,17
2023_BMW_M550i xDrive Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,25,20
2023_BMW_M8 Competition Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,22,17
2023_BMW_M850i xDrive Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,19
2023_BMW_X2 M35i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,31,27
2023_BMW_X2 sDrive28i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,32,27
2023_BMW_X2 xDrive28i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,31,27
2023_Cadillac_CT5,Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,33,27
2023_Cadillac_CT5,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,27,22
2023_Cadillac_CT5 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,30,25
2023_Cadillac_CT5 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,26,21
2023_Cadillac_CT5 V,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,27,21
2023_Cadillac_CT5 V,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,21,16
2023_Cadillac_CT5 V,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,21,15
2023_Chevrolet_MALIBU,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30
2023_Dodge_Challenger,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,30,23
2023_Dodge_Challenger,Gasoline (Mid Grade Unleaded Recommended),MPG,miles per gallon,16,25,19
2023_Dodge_Challenger,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,23,18
2023_Dodge_Challenger,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,24,18
2023_Dodge_Challenger,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,23,17
2023_Dodge_Challenger AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,27,21
2023_Dodge_Challenger SRT,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,13,22,16
2023_Dodge_Challenger SRT Widebody,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,13,21,15
2023_Dodge_Challenger Widebody,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,24,18
2023_Dodge_Challenger Widebody,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,23,17
2023_Honda_ACCORD SPORT/TOURING,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,46,41,44
2023_Honda_CIVIC 4Dr,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,33,42,36
2023_Honda_CIVIC 4Dr,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,31,38,34
2023_Honda_CIVIC 4Dr,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,27,37,31
2023_Honda_CIVIC 4Dr,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,30,37,33
2023_HYUNDAI MOTOR COMPANY_Elantra,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,36,31
2023_HYUNDAI MOTOR COMPANY_Elantra,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,33,42,37
2023_HYUNDAI MOTOR COMPANY_Elantra,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,30,40,34
2023_HYUNDAI MOTOR COMPANY_Elantra Hybrid,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,49,52,50
2023_HYUNDAI MOTOR COMPANY_Elantra Hybrid Blue,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,53,56,54
2023_HYUNDAI MOTOR COMPANY_Elantra N,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,20,30,23
2023_HYUNDAI MOTOR COMPANY_Elantra N,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_HYUNDAI MOTOR COMPANY_Venue,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,33,31
2023_INFINITI_Q50,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,29,23
2023_INFINITI_Q50 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,27,22
2023_INFINITI_Q50 AWD RED SPORT,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,26,22
2023_INFINITI_Q50 RED SPORT,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,26,22
2023_Jaguar_XF P250,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,33,28
2023_Jaguar_XF P250 AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,32,26
2023_Jaguar_XF P300 AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,30,25
2023_KIA_Forte,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30
2023_KIA_Forte,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,31,26
2023_KIA_Forte,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,39,32
2023_KIA_Forte FE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,30,41,34
2023_KIA_Stinger AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,29,24
2023_KIA_Stinger AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,20
2023_KIA_Stinger RWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,32,25
2023_KIA_Stinger RWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,25,20
2023_LEXUS_ES 250 AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,34,28
2023_LEXUS_ES 300h,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,43,44,44
2023_LEXUS_ES 350,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,32,26
2023_LEXUS_ES 350 F SPORT,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_LEXUS_LS 500,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,29,22
2023_LEXUS_LS 500 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,27,21
2023_LEXUS_LS 500h AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,25
2023_MASERATI_GHIBLI GT,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,25,20
2023_MASERATI_GHIBLI MODENA AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,25,20
2023_MASERATI_GHIBLI MODENA RWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,25,20
2023_MASERATI_GHIBLI TROFEO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,20,16
2023_MAZDA_MAZDA3 5-Door 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30
2023_MAZDA_MAZDA3 5-Door 2WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,36,30
2023_MAZDA_MAZDA3 5-Door 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,33,29
2023_MAZDA_MAZDA3 5-Door 4WD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_Mercedes-Benz_AMG E 53 4MATIC+,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,29,24
2023_Mercedes-Benz_AMG E 63 S 4MATIC+,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19
2023_Mercedes-Benz_E 350,Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,31,26
2023_Mercedes-Benz_E 350 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,30,24
2023_Mercedes-Benz_E 450 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,31,26
2023_Mini_COOPER COUNTRYMAN,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,26,32,28
2023_Mini_COOPER COUNTRYMAN ALL4,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_Mini_COOPER S CLUBMAN,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,35,29
2023_Mini_COOPER S CLUBMAN,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,32,25
2023_Mini_COOPER S CLUBMAN ALL4,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,32,27
2023_Mini_COOPER S COUNTRYMAN,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,33,28
2023_Mini_COOPER S COUNTRYMAN ALL4,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_Mini_JCW COUNTRYMAN ALL4,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,30,26
2023_Mini_JOHN COOPER WORKS CLUBMAN ALL4,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_NISSAN_ALTIMA,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,39,32
2023_NISSAN_ALTIMA AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,36,30
2023_NISSAN_ALTIMA SL/SR,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,37,31
2023_NISSAN_ALTIMA SR,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,34,29
2023_NISSAN_KICKS,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,31,36,33
2023_NISSAN_MAXIMA,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,20,30,24
2023_Subaru_IMPREZA 4-Door,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,36,32
2023_Subaru_IMPREZA 4-Door,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_Subaru_IMPREZA 4-Door SPORT,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,36,30
2023_Subaru_WRX,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,25,21
2023_Subaru_WRX,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,26,22
2023_TOYOTA_CAMRY,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,33,26
2023_TOYOTA_CAMRY AWD LE/SE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,34,29
2023_TOYOTA_CAMRY AWD XLE/XSE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,34,28
2023_TOYOTA_CAMRY HYBRID LE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,51,53,52
2023_TOYOTA_CAMRY HYBRID SE/XLE/XSE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,44,47,46
2023_TOYOTA_CAMRY LE/SE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,39,32
2023_TOYOTA_CAMRY TRD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_TOYOTA_CAMRY XLE/XSE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,38,31
2023_TOYOTA_CAMRY XSE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,22,32,26
2023_TOYOTA_PRIUS,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,57,56,57
2023_TOYOTA_PRIUS AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,53,54,54
2023_TOYOTA_PRIUS AWD XLE/LTD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,49,50,49
2023_TOYOTA_PRIUS XLE/LTD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,52,52,52
2023_TOYOTA_TOYOTA CROWN AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,32,30
2023_TOYOTA_TOYOTA CROWN AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,42,41,41
"2023_Volvo Cars of North America, LLC_S90 B6 AWD",Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,32,26
2023_Acura_INTEGRA,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,30,37,33
2023_Acura_INTEGRA A-SPEC,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,29,36,32
2023_Acura_INTEGRA A-SPEC,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,26,36,30
2023_Audi_A8L,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,28,22
2023_Audi_S8,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,23,18
2023_BMW_740i Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,31,27
2023_BMW_760i xDrive Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,26,21
2023_Chrysler_300,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,30,23
2023_Chrysler_300,Gasoline (Mid Grade Unleaded Recommended),MPG,miles per gallon,16,25,19
2023_Chrysler_300,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,24,18
2023_Chrysler_300 AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,27,21
2023_Dodge_Charger,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,19,30,23
2023_Dodge_Charger,Gasoline (Mid Grade Unleaded Recommended),MPG,miles per gallon,16,25,19
2023_Dodge_Charger,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,24,18
2023_Dodge_Charger AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,18,27,21
2023_Dodge_Charger SRT Widebody,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,21,15
2023_Dodge_Charger Widebody,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,15,24,18
2023_GENESIS_G80 AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,30,25
2023_GENESIS_G80 AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,25,19
2023_GENESIS_G80 RWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,32,26
2023_GENESIS_G90 AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,26,21
2023_GENESIS_G90 MHEV,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,20
2023_Honda_ACCORD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,37,32
2023_Honda_ACCORD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,51,44,48
2023_Honda_CIVIC 5Dr,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,31,39,35
2023_Honda_CIVIC 5Dr,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,30,37,33
2023_Honda_CIVIC 5Dr,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,37,31
2023_Honda_CIVIC 5Dr,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,37,32
2023_Honda_CIVIC 5Dr,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,36,29
2023_Honda_CIVIC 5Dr,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,28,24
2023_HYUNDAI MOTOR COMPANY_Sonata,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,37,31
2023_HYUNDAI MOTOR COMPANY_Sonata,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,33,27
2023_HYUNDAI MOTOR COMPANY_Sonata,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,38,32
2023_HYUNDAI MOTOR COMPANY_Sonata,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,37,31
2023_HYUNDAI MOTOR COMPANY_Sonata Hybrid,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,45,51,47
2023_HYUNDAI MOTOR COMPANY_Sonata Hybrid Blue,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,50,54,52
2023_KIA_K5,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,37,31
2023_KIA_K5,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,32,27
2023_KIA_K5 AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,33,28
2023_MASERATI_QUATTROPORTE GT,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,25,19
2023_MASERATI_QUATTROPORTE MODENA AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,25,20
2023_MASERATI_QUATTROPORTE MODENA RWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,25,19
2023_MASERATI_QUATTROPORTE TROFEO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,20,16
2023_Mercedes-Benz_S 500 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,28,23
2023_Mercedes-Benz_S 580 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,25,19
2023_Mercedes-Benz_S 580 4MATIC Maybach,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,25,18
2023_Porsche_Panamera,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_Panamera 4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_Panamera 4 Executive,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19
2023_Porsche_Panamera 4 ST,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20
2023_Porsche_Panamera 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20
2023_Porsche_Panamera 4S Executive,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19
2023_Porsche_Panamera 4S ST,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19
2023_Porsche_Panamera GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,21,17
2023_Porsche_Panamera GTS ST,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17
2023_Porsche_Panamera Turbo S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,21,17
2023_Rolls-Royce Motor Cars Limited_Ghost,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,19,14
2023_Rolls-Royce Motor Cars Limited_Ghost Black Badge,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,19,14
2023_Rolls-Royce Motor Cars Limited_Ghost Extended,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,19,14
2023_Rolls-Royce Motor Cars Limited_Phantom,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,18,14
2023_Rolls-Royce Motor Cars Limited_Phantom Extended,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,18,14
2023_Subaru_LEGACY,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_Subaru_LEGACY,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30
2023_Volkswagen_Arteon,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,33,28
2023_Volkswagen_Arteon 4Motion,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_Audi_A4 Allroad quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,30,26
2023_Honda_HR-V AWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,25,30,27
2023_Honda_HR-V FWD,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,26,32,28
2023_KIA_Niro,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,53,45,49
2023_KIA_Niro FE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,53,54,53
2023_KIA_Soul,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,33,30
2023_KIA_Soul Eco dynamics,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,29,35,31
2023_Lamborghini_Urus Performante,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,19,16
2023_Mercedes-Benz_AMG GLA 35 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,29,25
2023_Mercedes-Benz_AMG GLA 45 4MATIC,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,25,22
2023_Subaru_IMPREZA 5-Door,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,36,31
2023_Subaru_IMPREZA 5-Door,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,24,31,26
2023_Subaru_IMPREZA 5-Door SPORT,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30
