Model Year,Division,Carline,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel
2023,Porsche,718 Boxster GTS 4.0,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,19,21,32.9,25.0826
2023,Porsche,718 Boxster S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,25,22,24.2,35.9,28.3591
2023,Porsche,718 Boxster S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,24,21,23.6,34.3,27.454
2023,Porsche,718 Boxster T,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,23,26.6,38.2,30.8102
2023,Porsche,718 Boxster T,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,26,22,25.4,37.2,29.6294
2023,Porsche,718 Cayman,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,24,27.2,38.3,31.2794
2023,Porsche,718 Cayman,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,25,22,24.8,34.7,28.453
2023,Porsche,718 Cayman GT4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,22.7,33.2,26.4667
2023,Porsche,718 Cayman GT4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19,21,31.9,24.8157
2023,Porsche,718 Cayman GTS 4.0,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,24,21,24.1,33.8,27.6739
2023,Porsche,718 Cayman GTS 4.0,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,19,21,32.9,25.0826
2023,Porsche,718 Cayman S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,25,22,24.2,35.9,28.3591
2023,Porsche,718 Cayman S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,24,21,23.6,34.3,27.454
2023,Porsche,718 Cayman T,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,23,26.6,38.2,30.8102
2023,Porsche,718 Cayman T,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,26,22,25.4,37.2,29.6294
2023,Porsche,718 GT4 RS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,19,16,18.1,26,20.9668
2023,Porsche,718 Spyder,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,22.7,33.2,26.4667
2023,Porsche,718 Spyder,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19,21,32.4,24.9505
2023,Porsche,911 GT3,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,18,16,18.6,25.4,21.1477
2023,Porsche,911 GT3,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,18,16,17,25.8,20.0824
2023,Porsche,911 GT3 Touring,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,18,16,18.5,25.4,21.0765
2023,Porsche,911 GT3 Touring,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,18,16,17.1,25.9,20.1864
2023,TOYOTA,Supra 2.0,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,31,27,32.5943,43.9,36.8668
2023,TOYOTA,Supra 3.0,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26,29.4,43.9,34.5327
2023,TOYOTA,Supra 3.0,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,19,27,21,23.3,37.7,28.1361
2023,Aston Martin Lagonda Ltd,DB11 V12,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,22,17,17.7156,30.6398,21.8661
2023,Aston Martin Lagonda Ltd,DB11 V8,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,24,20,22.7207,33.8295,26.6603
2023,Aston Martin Lagonda Ltd,DBS,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,22,17,17.7156,30.6398,21.8661
2023,Bentley,Continental GT Convertible,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,22,18,18.3,29.2,21.9946
2023,Bentley,Continental GT Convertible Speed,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,12,18,14,14.1,25,17.5417
2023,"Ferrari North America, Inc.",Portofino M,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19,20.293,31.9429,24.2774
2023,LEXUS,LC 500 CONVERTIBLE,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,25,18,18.2,34.9023,23.1949
2023,Mini,COOPER CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,29,38,32,37.7728,56.2715,44.3308
2023,Mini,COOPER CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,27,37,31,35.6267,54.8991,42.3106
2023,Mini,COOPER S CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,27,36,30,34.6,52.6992,40.9249
2023,Mini,COOPER S CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27,29.8,47.7,35.8547
2023,Mini,JOHN COOPER WORKS CONVERTIBLE,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,33,27,31.1554,46.9684,36.7183
2023,Porsche,911 Carrera,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,23.9,35.1,27.9072
2023,Porsche,911 Carrera 4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,23.5,35.1,27.6054
2023,Porsche,911 Carrera 4 Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,23.5,34,27.2929
2023,Porsche,911 Carrera 4 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19,22.2,32.7,25.9496
2023,Porsche,911 Carrera 4 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19,21.2,33.6,25.4218
2023,Porsche,911 Carrera 4 GTS Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,22,19,21.5,31.8,25.1684
2023,Porsche,911 Carrera 4 GTS Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19,20.7,34,25.1223
2023,Porsche,911 Carrera 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20,22.6,33.4,26.4485
2023,Porsche,911 Carrera 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,25,20,22.4,35.8,26.9372
2023,Porsche,911 Carrera 4S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20,23,33,26.6316
2023,Porsche,911 Carrera 4S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,20,22.3,34.9,26.6257
2023,Porsche,911 Carrera Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,23.9,34.8,27.8214
2023,Porsche,911 Carrera GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19,22.3,32.7,26.0246
2023,Porsche,911 Carrera GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,20,21.7,34.6,26.0747
2023,Porsche,911 Carrera GTS Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,23,19,22.5,33.2,26.3167
2023,Porsche,911 Carrera GTS Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,20,22.1,34.3,26.3114
2023,Porsche,911 Carrera S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20,22.8,33.5,26.6272
2023,Porsche,911 Carrera S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,25,21,23,36.2,27.5149
2023,Porsche,911 Carrera S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20,22.9,33.4,26.6734
2023,Porsche,911 Carrera S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,25,20,22.7,36.1,27.2521
2023,Porsche,911 Sport Classic,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,21,17,18.2,29.7,22.0404
2023,Porsche,911 Targa 4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,23.6,34.5,27.5114
2023,Porsche,911 Targa 4 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,22,19,21.6,31.6,25.1867
2023,Porsche,911 Targa 4 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19,20.7,34,25.1223
2023,Porsche,911 Targa 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,23,20,23.3,34.1,27.1727
2023,Porsche,911 Targa 4S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,20,21.5,35.2,26.0651
2023,Porsche,911 Turbo,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17,19.1,27.4,22.1145
2023,Porsche,911 Turbo Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17,18.6,28.5,22.0462
2023,Porsche,911 Turbo S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17,19,28.9,22.4627
2023,Porsche,911 Turbo S Cabriolet,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,20,17,18.2,28.5,21.7348
2023,Subaru,BRZ,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,30,25,27.0287,43.6278,32.6123
2023,Subaru,BRZ,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,27,22,24.7457,37.9587,29.3418
2023,TOYOTA,GR86,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,31,25,27.0623,43.9135,32.7109
2023,TOYOTA,GR86,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,27,22,24.7911,38.0907,29.4124
2023,Audi,A3,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,28,38,32,36.9,53.4,42.8594
2023,Audi,A3 quattro,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,27,35,30,33.8,49.2,39.3414
2023,Audi,A5 Cabriolet quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,31,26,30.1,43.9,35.0594
2023,Audi,A5 Coupe quattro,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,32,27,31.2409,45.2772,36.3057
